Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type|Query
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|59|hash|name|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|46|hash|name|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|48|hash|name|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|54|hash|name|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|59|hash|regionId|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|49|hash|regionId|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|48|hash|regionId|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|53|hash|regionId|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|59|range|id|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|47|range|id|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|49|range|id|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|53|range|id|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|60|range|name|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|46|range|name|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|49|range|name|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|57|range|name|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|59|range|regionId|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|45|range|regionId|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|46|range|regionId|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|56|range|regionId|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|59|default|id|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|46|default|id|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|49|default|id|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|50|default|id|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|59|default|name|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|48|default|name|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|49|default|name|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|54|default|name|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|58|default|regionId|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|48|default|regionId|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|47|default|regionId|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|54|default|regionId|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|70|edgeHash|id|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|54|edgeHash|id|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|56|edgeHash|id|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|60|edgeHash|id|PatternMatching|3
90|hdfs:///user/kretschmer/citibike|all|null|null|false|true|355|edgeRange|id|Snapshot
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|360|edgeRange|id|PatternMatching|1
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|351|edgeRange|id|PatternMatching|2
90|hdfs:///user/kretschmer/citibike|null|null|null|null|true|370|edgeRange|id|PatternMatching|3
6|hdfs:///user/kretschmer/ldbc|all|null|null|false|true|4045|hash|id|Snapshot
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|8971|hash|id|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|3918|hash|id|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|7275|hash|id|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc|all|null|null|false|true|4326|hash|name|Snapshot
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|8904|hash|name|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|3848|hash|name|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|9156|hash|name|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc|all|null|null|false|true|4157|range|id|Snapshot
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|7051|range|id|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|4072|range|id|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|6684|range|id|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc|all|null|null|false|true|4183|range|name|Snapshot
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|9188|range|name|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|4977|range|name|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|10458|range|name|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc|all|null|null|false|true|4098|default|id|Snapshot
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|8978|default|id|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|3896|default|id|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc|null|null|null|null|true|7169|default|id|PatternMatching|6
